description,abbreviation,translation
Яма у переката Щепичино. Здесь была тоня жителей с. Нюхча. Привязка к карте м.б. не совсем точной.,с.,село
Яма у п. Онежский.,п.,посёлок
Яма в р. Нюхча в начале Морских порогов. Привязка к карте не является точной.,р.,река
"Яма в оз. Машозеро напротив мыса Riijonniemi, в восточной части озера. Самое глубокое место в озере, примерно 15 м.",м.,метров
юго-западнее г. Сортавалы,г.,город
юго-западнее г. Сортавалы,г.,город
юго-западнее г. Сортавалы,г.,город
"Часть с. Суйсарь, его южный конец",с.,село
"Часть с. Нюхча. Фамилии: Шамалуевы (больше всех), Докучаевы, Коровкин (1), Кичангины, Долинины, Поташевы, Мо(и)сеевы, Кокотовы, Прохоровы, Осиповы, Вороновы, Титовы, Клюкины, Федосеевы, Колышневы.",с.,село
Часть р. Пялы после оз. Нижнего Курошозера до впадения в р. Колежму.,р.,река
"Часть Панозера, строительство которой началось осенью 1956 г. Сейчас называют поселком.",г.,год
"Часть Панозера, строительство которой началось осенью 1956 г. Сейчас называют поселком.",г.,год
"Часть озера Нинисельгское, очень глубокая- более 10 м.",м.,метров
Часть д. Пяльма.,д.,деревня
Часть д. Кургеницы.,д.,деревня
Часть Белого моря у современного г. Беломорска (бывш. Сорока).,г.,город
Хутор на юг от с. Георгиевское.,с.,село
"Хутор в окрестностях с. Георгиевское, где жил генерал Кутузова. Бывш. хутор, там теперь камень большой. Раньше там старики жили сильные. Их даже в москву на кулачный бой вызывали. Правила не объяснили один из них иностранца-то во время боя поднял над собой и убил. Потом им сапоги яловые от царя дали т.к. пока они в Москву пешком шли лапти сносили.",с.,село
"Хутор в окрестностях с. Георгиевское, где жил генерал Кутузова. Бывш. хутор, там теперь камень большой. Раньше там старики жили сильные. Их даже в москву на кулачный бой вызывали. Правила не объяснили один из них иностранца-то во время боя поднял над собой и убил. Потом им сапоги яловые от царя дали т.к. пока они в Москву пешком шли лапти сносили.",с.,село
Хутор в окрестностях с. Вешкелица.,с.,село
"Хутор в окрестностях д. Михалево, на берегу оз. Телгозеро.",д.,деревня
Хутор в окрестностях д. Ивановская.,д.,деревня
Холм на юге д.Чёрный Наволок в 60-100 м.,м.,метров
"Фарватер, глубокое место с быстрым течением в Шуерецкой губе, между северным берегом и о. Шуйостровом. Это продолжение русла реки Шуя, от выхода реки в море до о. Конева. Фарватер хорошо виден на топографических картах.",о.,остров
Участок р. Тунгуда на юге от д. Машозеро. Здесь ставили забор на дне реки и ловили сигов осенью (в конце октября). Был в оброке.,р.,река
"Урочище, в 1928 г. очищенное местными жителями под покос. Расположено за Титовщиной.",г.,год
Урочище п. Онежский.,п.,посёлок
"Урочище на р. Шоле, здесь покос, бывший пожог, здесь же место сбора ягод и грибов.",р.,река
"Урочище на материковом побережье на ю. от м. Братин. Промысловая изба. В прошлом варили соль. Остались большие ямы. Сенокос, морская трава.",м.,мыс
"Урочище на вост. берегу мыса Куганаволок (на ю/з от д. Куганаволок), против о. Чёрный.",о.,остров
"Урочище на берегу р. Колпь, по дороге в дер. Корвала. В 1935 г. здесь сооружена плотина.",г.,год
Урочище Маясуо находится севернее г. Пиен-Тавонмяки.,г.,гора
Урочище Маясуо находится севернее г. Пиен-Тавонмяки.,г.,гора
"Урочище к северу от с. Нюхча, у тракта. Привязка к карте не является точной.",с.,село
Урочище к северу от о. Еглов на материке.,о.,остров
Урочище и промысловая изба на материковом берегу к восток от м. Наумиха.,м.,мыс
Урочище и полуостров на вост. от м. Варница. Промысловая изба,м.,мыс
Урочище в районе с. Нюхча. Здесь была варница.,с.,село
"Урочище в 500 м от д. Колово в сторону г. Пудож, по правую сторону от Большой дороги.",г.,город
Урочище (поле) на о. Хвост (Е. О.).,о.,остров
"Урочище (в т.ч. поляны) в лесу, в направлении к р. Паланге (д. Дубова, Заречье). Урочище за д. Дубовой, репу сеяли.",р.,река
"Унодье в 2,5 верстах по р. Паданка.",р.,река
"Уличная фамилия в д. Каккарова, официальная фамилия Герасимовы. (д. Mitrei)",д.,деревня
Улица в д. Кажма.,д.,деревня
"Узкий пролив между о. Соколий и раздваивающейся скалой у зап. берега о. Соколий, в Кондопожской губе Онежского озера, в окрестностях д. Тулгуба.",о.,остров
Узкий (около 400 м) сушной залив Белого моря к северу от деревни в 700 м.,м.,метров
Угодья с. Георгиевское на р. Андога.,с.,село
"Угодье у д. Аристово, в сторону мыса Пыжемень.",д.,деревня
Угодье с. Урицкое.,с.,село
Угодье с. Георгиевское на с/з от д. Тарасова.,с.,село
Угодье с. Георгиевское на р. Андога.,с.,село
Угодье д. Пяшница. Там полосы пахали косили.,д.,деревня
Угодье д. Пяшница в сторону д. Лойдица.,д.,деревня
Угодье д. Михалево.,д.,деревня
Угодье д. Кулмукса по правую сторону дороги из д. Кулмукса в д. Голышева Новинка.,д.,деревня
Угодье в с. Вешкелица.,с.,село
"Тропинка за д. Пяльма, вела к Онежскому озеру.",д.,деревня
Тоня у о. Сало.,о.,остров
Тоня у о. Палостров (д. Кевасалма).,о.,остров
"Тоня на оз. Водлозеро, у о. Палостров (д. Кевасалма).",о.,остров
Тоня жителей с. Шуерецкое.,с.,село
"Тоня в р. Шуя, в селе.",р.,река
Тоня в оз. Ведлозеро у о. Сало.,о.,остров
Тереба жителей с. Нюхча у Пятышевой горы.,с.,село
Тереба жителей с. Нюхча у горы Сенжала.,с.,село
Тереба (пожни) жителей с. Нюхча,с.,село
Тереб жителей с. Нюхча. Привязка к карте не является точной.,с.,село
Старая дорога от д. Мелентьево до п. Онежский.,п.,посёлок
"Современное название крупного залива Белого моря, простирается от г. Кандалакша на юго-восток до Порьягубы",г.,город
Современное название горы Пономариха к югу от с. Нюхча.,с.,село
"Современное название возвышенности Голец. Высокая возвышенность к юго-западу от с. Нюхча (далеко, ближе к дер. Оштамозеро).",с.,село
"Следующая к югу губа после г. Кабацкой, до Вачажной",г.,гора
"Скалистое место, гора на западном берегу оз. Путкозера, между г. Городок и Кривой горой.",г.,гора
"Скалистое место на р. Анусара, за Кривым плесом.",р.,река
"Скала в окрестностях д. Кашканы, под которой ручей Sordo-oja, выходит на дорогу в Верх. Важины.",д.,деревня
"Сенокосный наволок на р. Сума, у соответствующего порога, в 2 км ниже д. Сума.",р.,река
Сенокосноу урочище д. Syrd.,д.,деревня
Сенокосное урочище д. Нижние Виданы.,д.,деревня
"Сенокосное урочище (д. Заволочье) по р. Черева, в 10 км от деревни.",р.,река
Сенокосное угодье на р. Колода в 8 км. от д. Дубовой. Сенокосы на р. Паланге.,р.,река
Сенокосное угодье в 10 км от с. Салмозеро.,с.,село
Сенокосное угодье в 10 км от с. Салмозеро.,с.,село
Сенокосное угодие жителей с. Нюхчи к северу от села. карта: ур. Придухи,с.,село
"Сенокос, в 0,5 км от д. Колово в сторону г. Пудож. Недалеко от Ножовской ростани.",г.,город
"Сенокос по р. Колоде на одноименном мысу, в районе р. Калмы.",р.,река
"Сенокос по р. Виксинда, в районе руч. Тундручей. Пахотная поляна на горке, суглинистая почва.",р.,река
Сенокос п. Онежский.,п.,посёлок
"Сенокос на р. Охтома, в 9 км от д. Гумарнаволок, у порога Вьюгпорог.",р.,река
"Сенокос на р. Калма, у одноименного порога.",р.,река
Сенокос на противоположном от д. Колово берегу р. Водла. Сейчас там все заросло лесом.,р.,река
Сенокос на одноименном мысу на р. Пизьма (д. Еремеевская - Салмозеро).,р.,река
"Сенокос д. Усть-Колода на берегу р. Водла, в межах с Водлицкими покосами (т.е. принадлежащими д. Водла)",р.,река
"Сенокос д. Маткалахта, в 6 км от деревни, по направлению к Ваме, по р. Ильвама.",р.,река
"Сенокос д. Кумбасозеро на р. Кумбаса, в 4 км от деревни тут ставили приколы для ловли рыбы рядом уроч. Черная Яма.",р.,река
"Сенокос в д. Ченежа, рядом с сенокосом Под Кумбушкой.",д.,деревня
Сельга у берега Titurunrand в д. Нюхово.,д.,деревня
"Село в устье одноименной реки на берегу Белого моря. Выделяют 4 части: Бор, Наволок, Гагарья Губа, Корга. В прошлом до 400 домов. Климонтовская церковь поставлена в 1540 г. Новую ставил купец Шуттиев в 19 веке. Были старики староверы. Ездили богу молиться в Пертозеро. Коллективное прозвище колежОма - лопари, т.к. прохлопали царя (проплыл мимо).",г.,год
северо-западнее г. Оярви,г.,гора
севернее п. Рускеала,п.,посёлок
севернее п. Рускеала,п.,посёлок
севернее п. Рускеала,п.,посёлок
самый северный мыс о. Беломорск,о.,остров
"Самый крупный порог на р.Вирме, в 8 км. от села. Длина 800 м. На нем пытались ставить электростанцию.",м.,река
"С/х урочище на прав. берегу р. Водла, против д. Водла в уроч. поляны разных хозяев.",р.,река
