sentence_id; toponyms_list; nearby_abbreviations 
0; Пижейручья;  
1; Галайский, Галайский Остров;  
2; Poh'd'ad'g', Sar'gär'v, Vougedg'är'v;  
3; Поляны, Сидорово;  
4; Михайлов;  
5; Колпь, Jokšar'v, Вологодск;  
6; Каскосельга;  
7; ;  
8; Slabad;  
9; Селище;  
10; Ивадой, Levahtso;  
11; Сельхоз, Загубье, Липовицы;  
12; Типиниц;  
13; ;  
14; Вороний Остров, Типиницы, Онежским озером;  
15; Вороний Остров, Малая Избушка;  
16; Kor'boja;  
17; Sard'är'f;  
18; Rustadm'äged;  
19; Сарозеро;  
20; Ламба;  
21; Узкие мошки, Калейгубу, Уромы;  
22; Красного поля, Сибово;  
23; Кемское;  
24; Сибово;  
25; Красном поле, Сибово;  
26; Большая Сенатка;  
27; Šidroja;  
28; Вигово;  
29; Перелесок, Vaagedjär'v;  
30; Aksintanaz, N'ekojain'e;  
31; Aksintanaz;  
32; Покосы;  
33; Онежское озеро, Усть-Яндома;  
34; Иводы, Пустошка;  
35; Ламба;  
36; Панкратово, Sepad'är'v;  
37; Ручей;  
38; Саньки;  
39; Нинисельгское;  
40; Углевщина;  
41; Типиниц;  
42; Болото;  
43; Онежское озеро;  
44; Яндомозере, Карельских островов;  
45; Kalaidai;  
46; ;  
47; Laht, Лахта;  
48; Яндомозере, Виднаволок;  
49; Корбозеро;  
50; Luhtu;  
51; Sar'jar'v;  
52; Тигверки, Тулосозера;  
53; Тигверку;  
54; ;  
55; С/х угодье;  
56; Пелушам;  
57; Пахотная поляна, Лельреки;  
58; Педейнаволока, Великая Губа;  
59; Подовинники;  
60; Šoudoja;  
61; Mel'n'icojain'e;  
62; Нойдала;  
63; Поля;  
64; Šalg'ögi, Rihoja, моста Lava;  
65; Лахты;  
66; Яндомозера, Марковщины, Великую Губу;  
67; Виговской губы, Педейнаволоком, Лейреки, Корельских, Корельского, Вигово;  
68; Кумбыша, Ушового моста, Северница, Безрукий Обод;  
69; Пустынской дороге, Сяргозера;  
70; Шолу, Сепатки;  
71; Сидорово;  
