sentence_id; toponyms_list; nearby_abbreviations 
0; Пижейручья;  
1; Галайский, Галайский Остров;  
2; Poh'd'ad'g', Sar'gär'v, Vougedg'är'v; оз 
3; Поляны, Сидорово; дер 
4; Михайлов; дер, фам 
5; Колпь, Jokšar'v, Вологодск; оз 
6; Каскосельга;  
7; ;  
8; Slabad; дер 
9; Селище; дер 
10; Ивадой, Levahtso; р, у, бол 
11; Сельхоз, Загубье, Липовицы; у 
12; Типиниц; с 
13; ;  
14; Вороний Остров, Типиницы, Онежским озером;  
15; Вороний Остров, Малая Избушка;  
16; Kor'boja;  
17; Sard'är'f; у, оз 
18; Rustadm'äged;  
19; Сарозеро;  
20; Ламба;  
21; Узкие мошки, Калейгубу, Уромы;  
22; Красного поля, Сибово;  
23; Кемское;  
24; Сибово; к 
25; Красном поле, Сибово;  
26; Большая Сенатка; р 
27; Šidroja;  
28; Вигово; м 
29; Перелесок, Vaagedjär'v; дер, к, оз 
30; Aksintanaz, N'ekojain'e; дер 
31; Aksintanaz; дер 
32; Покосы;  
33; Онежское озеро, Усть-Яндома; оз, с, д 
34; Иводы, Пустошка; р, дер 
35; Ламба;  
36; Панкратово, Sepad'är'v; дер, оз 
37; Ручей; оз 
38; Саньки; д 
39; Нинисельгское; оз 
40; Углевщина; д 
41; Типиниц; с 
42; Болото; к, дер 
43; Онежское озеро; у 
44; Яндомозере, Карельских островов; у 
45; Kalaidai;  
46; ;  
47; Laht, Лахта; у, дер 
48; Яндомозере, Виднаволок; мыс 
49; Корбозеро; у 
50; Luhtu;  
51; Sar'jar'v;  
52; Тигверки, Тулосозера; дер, с, рек 
53; Тигверку;  
54; ;  
55; С/х угодье; х 
56; Пелушам; к 
57; Пахотная поляна, Лельреки; к, у 
58; Педейнаволока, Великая Губа; к 
59; Подовинники;  
60; Šoudoja;  
61; Mel'n'icojain'e;  
62; Нойдала; дер 
63; Поля;  
64; Šalg'ögi, Rihoja, моста Lava; р 
65; Лахты; у 
66; Яндомозера, Марковщины, Великую Губу;  
