1	участок	-
2	пожога	-
3	село	settlement
4	луда	luda
5	омут	-
6	полуостров	-
7	камень	stone
8	родник	-
9	колхоз	collective farm
10	канава	ditch
11	порог	-
12	пастбище	-
13	нива	-
14	смолокурня	-
15	мост	-
16	берег	shore
17	прогон	-
18	яма	-
19	пролив	-
20	мель	-
21	деревня	village
22	мыс	-
23	ручей	-
24	покос	-
25	озеро	-
26	река	river
27	поле	-
28	бор	pinewood
29	дом	house
30	овраг	-
31	лес	forest
32	колодец	well
33	губа	inlet
34	ламба	lamba
35	дорога	road
36	пруд	-
37	часовня	-
38	угодье	-
39	крест	cross
40	хутор	hamlet
41	рига	-
42	болото	swamp
43	кузница	smithy
44	скала	-
45	церковь	-
46	залив	bay
47	урочище	tract
48	тоня	-
49	мельница	-
50	место	-
51	остров	-
52	кладбище	cemetery
53	гора	mountain
54	пристань	-
55	поляна	-
56	шахта	-
57	маяк	lighthouse
58	плес	-
59	часть реки	-
60	часть озера	-
62	улица	-
63	поселение	-
64	протока	-
65	плёс	-
66	дерево	-
67	плотина	-
68	монастырь	-
69	территория	territory
70	море	-
71	гумно	-
72	отмель	-
73	перевоз	-
74	волок	-
75	закол	-
76	ток	-
77	часть деревни	-
78	местность	-
79	низина	-
80	перешеек	-
81	межа	division
82	поворот	-
83	устье	-
84	часть мыса	-
85	выгон	pasture
86	фамилия	-
87	постройка	-
88	водопад	waterfall
89	изба	hut
90	тропа	-
91	поселок	town
92	перекресток	-
93	город	city
94	бочага	pit with water
95	заводь	creek
96	лесопункт	lumber camp
97	зимник	ice road
98	просека	-
99	мостки	-
100	станция	station
101	местечко	mestechko
102	посёлок городского типа	urban-type settlement
103	разъезд	siding
104	пудас	-
105	бухта	-
106	карьер	-
107	выселок	-
108	часть поселения	-
109	барак	barrack
110	колонизационный поселок	-
111	лесная изба	-
112	гидрометеорологическая станция	-
113	казарма	-
114	развалины	-
115	сельское поселение	rural settlement
116	склон	-
117	изгородь	-
118	лужа	-
